"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"PESADO-GAMEPLAY","1","8","0","0","0","0","0","0","0","7","1","alive","0","0","-","8","618","3436.8097","331.2035","3105.6062","-","1-PESADO-GAMEPLAY-WF_PROZIN"
"WF_PROZIN","1","9","0","0","0","0","0","0","0","2","2","byzone","0","0","-","3","566","1306.423056","1107.5337","66.699486","132.18987","1-PESADO-GAMEPLAY-WF_PROZIN"
"Doomed_Aim","2","10","0","3","0","0","0","0","0","1","4","suicide","0","0","-","16","615","2479.2075","1055.9889","1423.2186","-","2-Doomed_Aim-xA_N_D_R_Ex"
"xA_N_D_R_Ex","2","2","1","1","1","1","97.59998","0","1","1","3","byplayer","0","0","23.18307","7","615","2567.14526","923.69666","1643.4486","-","2-Doomed_Aim-xA_N_D_R_Ex"
"domRJ-","3","12","0","0","0","0","0","0","0","7","1","suicide","1","0","-","4","544","2902.5766","683.2075","2219.3691","-","3-domRJ--BRP28"
"BRP28","3","11","0","0","0","0","0","0","0","8","3","byzone","0","0","-","6","544","3426.2214","789.3217","2636.8997","-","3-domRJ--BRP28"
"dedel32010324","4","14","0","0","0","0","22.140001","0","0","0","0","byplayer","0","0","-","5","485","844.57702","372.18192","472.3951","-","4-dedel32010324-SALOMON_BR"
"SALOMON_BR","4","13","0","0","0","0","0","0","0","2","3","byzone","0","0","-","3","531","5662.74595","558.42365","5104.3223","-","4-dedel32010324-SALOMON_BR"
