"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"PESADO-GAMEPLAY","1","1","4","0","2","1","223.4333","0","0","5","4","alive","0","0","69.83635","7","1143","1987.3575","1987.3575","-","-","1-PESADO-GAMEPLAY"
"LandersSA","2","2","1","0","1","0","100","0","0","0","4","byplayer","0","0","13.429861","8","1140","2853.1374","1110.4921","1742.6453","-","2-LandersSA"
"TEXAS3006","3","4","0","0","0","0","0","0","0","0","2","byplayer","0","0","-","9","1100","616.6127","616.6127","-","-","3-TEXAS3006"
"EdlyCruz","4","5","0","0","0","0","0","0","0","1","1","byplayer","0","0","-","4","1095","3020.48076","2235.872","784.60876","-","4-EdlyCruz"
"Doomed_Aim","5","3","1","0","1","0","169.63168","0","0","0","3","byplayer","0","0","18.803179","17","942","2765.2803","1557.4025","1207.8778","-","5-Doomed_Aim"
"xA_N_D_R_Ex","6","6","0","0","0","0","22.75","0","0","3","3","byplayer","0","0","-","5","797","191.00981","191.00981","-","-","6-xA_N_D_R_Ex"
"nokyamlavor","7","7","0","0","0","0","96.35","0","0","0","1","byplayer","0","0","-","3","250","138.66156","138.66156","-","-","7-nokyamlavor"
