"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"xA_N_D_R_Ex","1","1","4","0","1","0","452.50613","0","1","3","13","alive","1","0","128.8216","16","1619","3347.358","3347.358","-","-","1-xA_N_D_R_Ex"
"TEXAS3006","2","2","1","0","1","0","180.6445","0","1","1","4","byplayer","0","0","95.91601","15","1616","3988.2852","2573.5303","1414.7549","-","2-TEXAS3006"
"Mateus_Sousa","3","3","1","0","1","1","193.99731","0","1","2","9","byplayer","1","0","43.85312","12","1537","4376.4767","1671.3817","2705.095","-","3-Mateus_Sousa"
"Gambin-Metaleiro","4","6","0","0","0","0","0","0","0","4","4","byplayer","0","0","-","4","1475","7120.7742","1796.9142","5323.86","-","4-Gambin-Metaleiro"
"GaroX-","5","4","1","0","1","0","167.20724","0","0","0","4","byplayer","0","0","8.109231","5","1233","5610.5556","1486.2031","4124.3525","-","5-GaroX-"
"xCHUMELAx","6","5","1","0","1","0","93.39996","0","0","0","11","byplayer","0","0","4.702695","11","1151","1833.0195","1833.0195","-","-","6-xCHUMELAx"
"bruninhw","7","7","0","0","0","0","0","0","0","5","0","byplayer","0","0","-","9","1151","4416.1123","4416.1123","-","-","7-bruninhw"
"SALOMON_BR","8","8","0","0","0","0","76.8","0","0","0","3","byplayer","0","0","-","9","1145","6324.2464","1231.3699","5092.8765","-","8-SALOMON_BR"
"WF_PROZIN","9","9","0","0","0","0","0","0","0","2","6","byplayer","0","0","-","8","911","3597.56224","997.54584","2600.0164","-","9-WF_PROZIN"
