"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Tauzudu","1","1","2","0","1","1","239.67216","0","0","1","5","alive","0","0","103.700195","8","1166","3621.3265","2328.2324","1293.0941","-","1-Tauzudu"
"xCHUMELAx","2","3","0","0","0","0","94.59856","0","0","2","5","byplayer","0","0","-","10","1163","2073.1191","2073.1191","-","-","2-xCHUMELAx"
"SALOMON_BR","3","2","2","0","1","2","225.59283","0","0","0","3","byplayer","0","0","114.28698","4","906","5947.4447","1186.4823","4760.9624","-","3-SALOMON_BR"
"PESADO-GAMEPLAY","4","4","0","0","0","0","60.48","0","0","1","4","byplayer","0","0","-","5","880","3407.2246","1334.4048","2072.8198","-","4-PESADO-GAMEPLAY"
"xA_N_D_R_Ex","5","5","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","6","467","977.1696","977.1696","-","-","5-xA_N_D_R_Ex"
