"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"WF_PROZIN","1","1","2","0","1","0","210.61276","0","0","3","6","alive","0","0","28.912743","6","1507","5779.84937","2377.453","3299.2537","103.14267","1-WF_PROZIN"
"SALOMON_BR","2","2","2","0","1","1","271.40805","0","0","1","3","byplayer","0","0","145.36368","6","1504","1204.067563","1165.348","-","38.719563","2-SALOMON_BR"
"PESADO-GAMEPLAY","3","3","1","0","1","1","145.8449","0","0","0","6","byplayer","0","0","104.80396","7","1334","6297.203993","2142.8418","4144.049","10.313193","3-PESADO-GAMEPLAY"
"TEXAS3006","4","4","0","0","0","0","0","0","0","1","4","byplayer","0","0","-","9","1298","5310.87487","1565.8856","3721.5007","23.48857","4-TEXAS3006"
"Bradok081","5","5","0","0","0","0","0","0","0","4","3","byplayer","0","0","-","7","1153","4200.093436","995.269","3182.2878","22.536636","5-Bradok081"
"xA_N_D_R_Ex","6","6","0","0","0","0","25.445253","0","0","4","5","byplayer","0","0","-","6","878","4580.9466","782.8004","3798.1462","-","6-xA_N_D_R_Ex"
