"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"BR_Babayaga","1","1","2","0","1","1","275.08185","0","0","5","11","alive","0","0","129.43887","10","1533","5020.1891","3688.0518","1332.1373","-","1-BR_Babayaga"
"nokyamlavor","2","6","0","0","0","0","137.95415","0","0","5","4","byplayer","0","0","-","10","1530","7341.9688","1366.9712","5974.9976","-","2-nokyamlavor"
"TEXAS3006","3","2","2","0","1","1","185.45198","0","0","2","6","byplayer","0","0","59.77147","8","1420","4175.3734","1875.6083","2299.7651","-","3-TEXAS3006"
"Gambin-Metaleiro","4","3","1","0","1","0","128.4406","0","0","2","3","byplayer","0","0","4.271267","5","1401","8348.3825","1160.9001","7187.4824","-","4-Gambin-Metaleiro"
"domRJ-","5","4","1","0","1","0","111.73659","0","0","11","5","suicide","0","0","149.12704","8","1096","3586.678","1892.5203","1694.1577","-","5-domRJ-"
"Doomed_Aim","6","5","1","0","1","0","242.64246","0","0","3","4","byplayer","0","0","3.8907664","8","941","4280.0298","1506.2634","2773.7664","-","6-Doomed_Aim"
"dedel32010324","7","7","0","0","0","0","0","0","0","8","4","byplayer","0","0","-","9","924","5858.9088","1377.461","4481.4478","-","7-dedel32010324"
"Brock-br","8","8","0","0","0","0","0","0","0","3","0","byplayer","0","0","-","9","739","2750.1692","720.022","2030.1472","-","8-Brock-br"
"xA_N_D_R_Ex","9","9","0","0","0","0","0","0","0","0","3","byplayer","0","0","-","12","724","1440.89484","872.3194","568.57544","-","9-xA_N_D_R_Ex"
