"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Doomed_Aim","1","1","2","0","2","0","128.95987","0","0","0","3","alive","0","0","123.9715","22","1448","9125.5322","1822.5898","7302.9424","-","1-Doomed_Aim"
"WF_PROZIN","2","4","0","0","0","0","159.30142","0","0","0","5","byplayer","0","0","-","3","1445","2528.5684","2528.5684","-","-","2-WF_PROZIN"
"dedel32010324","3","2","1","0","1","1","58.04014","0","0","2","1","byplayer","0","0","65.95029","11","1435","5306.2451","1322.7983","3983.4468","-","3-dedel32010324"
"xA_N_D_R_Ex","4","3","1","0","1","0","42.70893","0","0","0","3","byplayer","0","0","524.00024","11","1243","2503.0235","1324.5342","1178.4893","-","4-xA_N_D_R_Ex"
"EdlyCruz","5","5","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","7","1055","3331.7049","1310.8237","2020.8812","-","5-EdlyCruz"
