"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Doomed_Aim","1","3","1","0","1","0","171.29999","0","0","0","4","alive","0","0","69.6702","14","1510","8113.507","3335.647","4777.86","-","1-Doomed_Aim"
"Al3Mrcs","2","1","3","0","1","2","300","0","0","1","0","byplayer","0","0","80.52077","8","1507","6955.2035","1147.3265","5807.877","-","2-Al3Mrcs"
"Bradok081","3","4","0","0","0","0","67.21109","0","0","1","5","byplayer","0","0","-","7","1447","7677.1108","2310.1484","5366.9624","-","3-Bradok081"
"Gambin-Metaleiro","4","5","0","0","0","0","0","0","0","0","5","byplayer","0","0","-","8","1365","6763.7932","2428.4912","4335.302","-","4-Gambin-Metaleiro"
"xandexande","5","6","0","0","0","0","0","0","0","5","7","byzone","0","0","-","9","1172","2571.28797","1021.22217","1550.0658","-","5-xandexande"
"xA_N_D_R_Ex","6","2","2","0","1","0","132.28787","0","0","0","3","byplayer","0","0","59.924843","8","851","1880.05464","111.87604","1768.1786","-","6-xA_N_D_R_Ex"
"TEXAS3006","7","7","0","0","0","0","67.5331","0","0","0","2","byplayer","0","0","-","10","748","3836.58295","754.30365","3082.2793","-","7-TEXAS3006"
"SALOMON_BR","8","8","0","0","0","0","11.610001","0","0","0","0","byplayer","0","0","-","1","100","16.88271","16.88271","-","-","8-SALOMON_BR"
