"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"WF_PROZIN","1","1","3","0","1","2","300","0","0","0","6","alive","0","0","53.68668","8","1603","5868.1835","2426.609","3441.5745","-","1-WF_PROZIN"
"Bradok081","2","2","1","0","1","0","182.68","0","0","0","7","byplayer","0","0","18.237839","8","1600","6966.4056","2621.7046","4344.701","-","2-Bradok081"
"TEXAS3006","3","3","1","0","1","0","85.01486","0","0","0","7","byplayer","0","0","81.24998","14","1565","5375.4538","2339.1516","3036.3022","-","3-TEXAS3006"
"xA_N_D_R_Ex","4","4","1","0","1","0","116.600006","0","1","0","3","byplayer","0","0","50.685966","9","1158","13190.0181","1021.7221","12168.296","-","4-xA_N_D_R_Ex"
"xandexande","5","6","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","9","906","7886.77267","436.84497","7449.9277","-","5-xandexande"
"EdlyCruz","6","7","0","0","0","0","13.00888","0","0","0","0","byplayer","0","0","-","5","877","3975.1445","1038.2727","2936.8718","-","6-EdlyCruz"
"SALOMON_BR","7","5","1","0","1","0","97.601524","0","1","1","2","byplayer","0","0","6.4549","8","871","6346.0674","748.7944","5597.273","-","7-SALOMON_BR"
"PESADO-GAMEPLAY","8","8","0","0","0","0","94.8","0","0","0","1","byplayer","0","0","-","10","775","3928.4743","194.6833","3733.791","-","8-PESADO-GAMEPLAY"
