"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Doomed_Aim","1","1","4","0","1","1","380.9983","0","0","4","7","alive","0","0","37.402695","9","1211","1813.846345","1736.0458","-","77.800545","1-Doomed_Aim"
"TEXAS3006","2","3","1","0","1","1","83","0","0","4","4","byplayer","0","0","15.327812","5","1208","1315.0239","1315.0239","-","-","2-TEXAS3006"
"xA_N_D_R_Ex","3","2","2","0","1","0","201.108","0","0","1","7","byplayer","0","0","194.9394","10","1090","1472.7543","1472.7543","-","-","3-xA_N_D_R_Ex"
"ALEMAOFIRE13","4","5","0","0","0","0","59.086124","0","0","1","3","byplayer","0","0","-","9","1062","1083.67586","569.9529","513.72296","-","4-ALEMAOFIRE13"
"xandexande","5","6","0","0","0","0","0","0","0","4","5","byplayer","0","0","-","4","1045","3118.74299","911.423","2184.263","23.05699","5-xandexande"
"Bradok081","6","4","1","0","1","0","146.77997","0","0","1","2","byplayer","0","0","9.6214695","9","922","973.84770134","973.6506","0.19710134","-","6-Bradok081"
"gabrielhoffmann","7","7","0","0","0","0","98.28","0","0","2","1","byplayer","0","0","-","7","895","3090.13776","2127.3252","962.81256","-","7-gabrielhoffmann"
"WF_PROZIN","8","8","0","0","0","0","52.832928","0","0","0","2","byplayer","0","0","-","7","813","527.61547","507.14804","-","20.46743","8-WF_PROZIN"
"dedel32010324","9","9","0","0","0","0","0","0","0","0","2","byplayer","0","0","-","11","531","517.6115","517.6115","-","-","9-dedel32010324"
