"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"xCHUMELAx","1","3","1","0","1","0","137.38893","0","0","1","10","alive","0","0","6.3610997","10","1533","1751.73572","1685.2349","66.50082","-","1-xCHUMELAx"
"xA_N_D_R_Ex","2","1","3","0","1","2","284.78802","0","0","3","8","byplayer","0","0","63.51025","6","1530","8600.3059","1926.1289","6674.177","-","2-xA_N_D_R_Ex"
"PESADO-GAMEPLAY","3","4","1","0","1","1","75","0","0","2","4","byplayer","0","0","183.62132","6","1445","8417.2398","2150.1924","6267.0474","-","3-PESADO-GAMEPLAY"
"WF_PROZIN","4","5","1","0","1","0","235.73447","0","0","1","3","byplayer","0","0","12.974122","5","1290","3739.2235","1957.348","1781.8755","-","4-WF_PROZIN"
"Gambin-Metaleiro","5","6","0","0","0","0","45.03","0","0","1","3","byplayer","0","0","-","7","1272","6584.9828","1299.7792","5285.2036","-","5-Gambin-Metaleiro"
"TEXAS3006","6","2","2","0","1","0","313.55997","0","0","1","8","byplayer","0","0","7.268873","13","1220","4343.543","1074.6118","3268.9312","-","6-TEXAS3006"
"CARNEIRO007","7","7","0","0","0","0","98.99999","0","0","1","1","byplayer","0","0","-","6","1008","5080.0003","1684.5989","3395.4014","-","7-CARNEIRO007"
"LandersSA","8","8","0","0","0","0","110.59225","0","0","0","4","byplayer","0","0","-","8","995","4671.9985","1163.3075","3508.691","-","8-LandersSA"
"SALOMON_BR","9","9","0","0","0","0","41.681244","0","0","1","1","byplayer","0","0","-","5","337","187.98848","187.98848","-","-","9-SALOMON_BR"
