"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"xA_N_D_R_Ex","1","1","2","0","1","0","289.52997","0","0","1","1","alive","0","0","36.660374","11","614","1048.616","1048.616","-","-","1-xA_N_D_R_Ex"
"fb-gg-MidiGamer","2","2","1","0","1","0","48.2","0","0","1","1","byplayer","0","0","25.283195","10","611","1255.0417","1255.0417","-","-","2-fb-gg-MidiGamer"
"Gambin-Metaleiro","3","3","0","0","0","0","84.9743","0","0","1","2","byplayer","0","0","-","4","572","1130.7144","1130.7144","-","-","3-Gambin-Metaleiro"
"WF_PROZIN","4","4","0","0","0","0","29.4","0","0","0","2","byplayer","0","0","-","3","390","1115.0138","1115.0138","-","-","4-WF_PROZIN"
