"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"WF_PROZIN","1","1","4","0","1","1","473.79337","0","0","2","6","alive","0","0","28.967783","9","1221","3660.98018","1540.9486","1929.2906","190.74098","1-WF_PROZIN"
"Al3Mrcs","2","2","2","0","1","0","198.98666","0","0","1","1","byplayer","0","0","27.114067","7","1218","3157.542","1773.5145","1384.0275","-","2-Al3Mrcs"
"xandexande","3","4","0","0","0","0","37.71637","0","0","2","3","byplayer","0","0","-","7","1199","5260.938442","1854.9684","3349.9556","56.014442","3-xandexande"
"xCHUMELAx","4","3","2","0","1","0","174","0","0","0","7","byplayer","0","0","103.37027","10","1176","601.79193","601.79193","-","-","4-xCHUMELAx"
"Gambin-Metaleiro","5","5","0","0","0","0","0","0","0","0","3","byplayer","0","0","-","3","940","457.71625","457.71625","-","-","5-Gambin-Metaleiro"
"FISHERKILLER02","6","6","0","0","0","0","26.4","0","0","1","2","byplayer","0","0","-","3","871","1346.53833","1202.8562","-","143.68213","6-FISHERKILLER02"
"BRP28","7","7","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","5","720","2057.34807","1682.7072","374.64087","-","7-BRP28"
"xA_N_D_R_Ex","8","8","0","0","0","0","0","0","0","0","2","byplayer","0","0","-","11","343","1085.7056","478.4303","607.2753","-","8-xA_N_D_R_Ex"
"SALOMON_BR","9","9","0","0","0","0","0","0","0","1","0","byplayer","0","0","-","2","260","588.63797","311.42453","277.21344","-","9-SALOMON_BR"
