"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Doomed_Aim","1","1","3","0","1","0","327.18942","0","0","0","6","alive","0","0","256.68817","14","1591","5541.1746","2323.5232","3217.6514","-","1-Doomed_Aim"
"SALOMON_BR","2","2","2","0","1","1","183.0409","0","1","4","7","byplayer","0","0","77.735565","7","1588","5139.765","2785.06","2354.705","-","2-SALOMON_BR"
"WF_PROZIN","3","3","2","0","1","0","231.6407","0","0","1","5","byplayer","0","0","28.81164","9","1433","5776.0757","2368.4304","3407.6453","-","3-WF_PROZIN"
"xCHUMELAx","4","4","0","0","0","0","63.84","0","0","0","4","byplayer","0","0","-","9","1322","1692.2897","1692.2897","-","-","4-xCHUMELAx"
"xA_N_D_R_Ex","5","5","0","0","0","0","43.05","0","0","2","4","byplayer","0","0","-","11","1300","4492.8399","1813.4379","2679.402","-","5-xA_N_D_R_Ex"
"dedel32010324","6","6","0","0","0","0","0","0","0","0","4","byplayer","0","0","-","8","1097","1827.5195","1827.5195","-","-","6-dedel32010324"
"nokyamlavor","7","7","0","0","0","0","0","0","0","0","4","byplayer","0","0","-","7","766","608.7777","608.7777","-","-","7-nokyamlavor"
"erikao019","8","8","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","8","337","293.75116","293.75116","-","-","8-erikao019"
