"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"fb-gg-MidiGamer","1","1","2","0","1","1","374.4643","0","0","0","3","alive","0","0","207.18814","7","1564","3824.58015","2826.1833","998.39685","-","1-fb-gg-MidiGamer"
"WF_PROZIN","2","4","1","0","1","0","138.07916","0","0","0","5","byplayer","0","0","19.843555","8","1561","3841.8333","2333.565","1508.2683","-","2-WF_PROZIN"
"Kisaki121","3","2","2","0","1","1","200","0","0","0","1","byplayer","0","0","205.82555","6","1373","6003.2109","919.3881","5083.8228","-","3-Kisaki121"
"Gambin-Metaleiro","4","5","0","0","0","0","0","0","0","0","2","byplayer","0","0","-","5","1273","3837.9275","1087.6455","2750.282","-","4-Gambin-Metaleiro"
"BRP28","5","3","2","0","1","0","200","0","0","9","3","byplayer","0","0","99.5588","6","1213","5591.8489","1190.6204","4401.2285","-","5-BRP28"
"nokyamlavor","6","6","0","0","0","0","31.304466","0","0","0","1","byplayer","0","0","-","7","1204","6828.4353","1221.2068","5607.2285","-","6-nokyamlavor"
"EdlyCruz","7","7","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","8","1121","1890.3383","1890.3383","-","-","7-EdlyCruz"
"xA_N_D_R_Ex","8","8","0","0","0","0","65.79","0","0","0","0","byplayer","0","0","-","5","240","188.01305","188.01305","-","-","8-xA_N_D_R_Ex"
