"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"xA_N_D_R_Ex","1","1","3","0","1","1","345.91992","0","0","10","7","alive","0","0","144.15938","10","1205","2291.583","2291.583","-","-","1-xA_N_D_R_Ex"
"Slokuz","2","2","1","0","1","0","138.808","0","0","0","1","byplayer","0","0","23.586348","8","1202","2730.10567","2178.6938","551.41187","-","2-Slokuz"
"Destr0yyy","3","4","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","7","1146","2193.5884","2193.5884","-","-","3-Destr0yyy"
"Gambin-Metaleiro","4","5","0","0","0","0","0","0","0","0","2","byplayer","0","0","-","6","1095","2208.6714","2208.6714","-","-","4-Gambin-Metaleiro"
"xandexande","5","6","0","0","0","0","0","0","0","0","4","byzone","0","0","-","11","1019","2244.622","2244.622","-","-","5-xandexande"
"Doomed_Aim","6","3","1","0","1","0","223.99078","0","0","0","1","byplayer","0","0","62.898693","10","726","2014.9497","2014.9497","-","-","6-Doomed_Aim"
"ALEMAOFIRE13","7","7","0","0","0","0","0","0","0","1","2","byplayer","0","0","-","7","265","186.36406","186.36406","-","-","7-ALEMAOFIRE13"
