"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"erikao019","1","1","2","0","1","1","290.58774","0","0","5","6","alive","0","0","118.19571","6","1553","2459.78034","532.98114","1926.7992","-","1-erikao019"
"nokyamlavor","2","2","2","0","1","1","203.61314","0","0","1","4","byplayer","0","0","119.72032","9","1550","6859.9132","1035.4542","5824.459","-","2-nokyamlavor"
"BRP28","3","3","2","0","1","2","200","0","0","1","4","byplayer","0","0","143.75974","9","1363","1612.9319","912.909","700.0229","-","3-BRP28"
"Gambin-Metaleiro","4","5","0","0","0","0","0","0","0","1","3","byplayer","0","0","-","5","1313","8256.8069","1401.2883","6855.5186","-","4-Gambin-Metaleiro"
"WF_PROZIN","5","4","2","0","1","1","146.55896","0","0","6","8","byplayer","0","0","177.72531","7","1275","3096.4253","1558.2935","1538.1318","-","5-WF_PROZIN"
"SALOMON_BR","6","6","0","0","0","0","103.665955","0","0","0","3","byplayer","0","0","-","8","1193","4226.3329","1287.3666","2938.9663","-","6-SALOMON_BR"
"xandexande","7","7","0","0","0","0","97.15904","0","0","0","3","byplayer","0","0","-","5","759","3769.06265","462.35535","3306.7073","-","7-xandexande"
"dedel32010324","8","8","0","0","0","0","86.70202","0","0","4","3","byplayer","0","0","-","8","904","904.22205","904.22205","-","-","8-dedel32010324"
"xA_N_D_R_Ex","9","9","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","3","327","-","-","-","-","9-xA_N_D_R_Ex"
