"Name","Win Place","Kill Place","Kills","Bot Kills","Kill Streaks","Headshot Kills","Damage Dealt","Assists","Knocks","Heals","Boosts","Death Type","Revives","Team Kills","Longest Kill","Weapons Acquired","Time Survived","Distance Traveled ","Walk Distance ","Ride Distance ","Swim Distance ","Team Name"
"Educhuck","17","76","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","7","337","424.30746","424.30746","-","-","8-HardFabio_--BlazeSmoke-Educhuck-ClasherGaming"
"Scorpion_py","18","77","0","0","0","0","166.04001","1","2","1","0","byplayer","0","0","-","3","335","381.4462","381.4462","-","-","18-Scorpion_py-Romerito94-kako76-Javierlujan17"
"kako76","18","79","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","1","107","7.1357045","7.1357045","-","-","18-Scorpion_py-Romerito94-kako76-Javierlujan17"
"Javierlujan17","18","78","0","0","0","0","99.99999","0","1","0","0","byplayer","0","0","-","2","138","147.52536","147.52536","-","-","18-Scorpion_py-Romerito94-kako76-Javierlujan17"
"WillTecNNos","19","81","0","0","0","0","74.17281","1","0","0","0","byplayer","0","0","-","5","157","157.5591","157.5591","-","-","19-WillTecNNos-THEUZ-_--GUARDIAOHz"
"THEUZ-_-","19","80","0","0","0","0","23.220001","0","0","1","0","byplayer","0","0","-","5","211","255.17764","255.17764","-","-","19-WillTecNNos-THEUZ-_--GUARDIAOHz"
"GUARDIAOHz","19","2","5","0","2","2","494.6835","0","3","1","2","suicide","1","0","36.13153","6","333","454.40347","454.40347","-","-","19-WillTecNNos-THEUZ-_--GUARDIAOHz"
"HTM_4M","20","36","1","0","1","0","48.578255","1","0","0","0","byplayer","2","0","7.363417","5","307","319.37732","319.37732","-","-","17-RafaB-sB-ANDREDIDEUS-DEDE_arg-HTM_4M"
"Atomic7616","20","82","0","0","0","0","0","0","0","0","0","byplayer","0","0","-","1","86","10.468457","10.468457","-","-","20-Atomic7616-lightn71-J_Indicati-SrCavalheiro"
"lightn71","20","35","1","0","1","1","23.615807","1","1","1","2","byplayer","0","0","4.7433724","6","329","341.97675","341.97675","-","-","20-Atomic7616-lightn71-J_Indicati-SrCavalheiro"
"J_Indicati","20","20","2","0","1","1","112.30202","0","2","0","0","byplayer","1","0","16.9723","5","301","239.202","239.202","-","-","20-Atomic7616-lightn71-J_Indicati-SrCavalheiro"
"SrCavalheiro","20","34","1","0","1","1","264.0822","2","1","1","1","suicide","0","1","4.504494","7","329","269.95197","269.95197","-","-","20-Atomic7616-lightn71-J_Indicati-SrCavalheiro"
"Perobinha","21","83","0","0","0","0","192.04001","0","1","0","0","byplayer","0","0","-","5","291","394.6129","394.6129","-","-","15-APHYNFAWKE-Perobinha-llJeckell-Ervayne"
"Wizzback_cl","21","37","1","0","1","1","100","0","1","0","0","byplayer","0","0","27.255713","5","314","342.1039","342.1039","-","-","21-Wizzback_cl-Crip_To-Ni_Ta-MonkeyDGenetic-JaehaerysSnow"
"JDXVID","21","38","1","0","1","0","88.95999","0","1","1","0","byplayer","0","0","19.981184","3","296","379.236345","324.01013","55.226215","-","14-OzamaruPY-JDXVID-JugadorN12-FabroXTZ"
"Hibner","22","39","1","0","1","1","95.655","0","1","0","0","byplayer","0","0","43.880234","2","228","185.18367","185.18367","-","-","22-Hibner-xA_N_D_R_Ex-Gambin-Metaleiro-UNAMX9"
